ts,side,usd_notional,cascade
2026-05-07 03:50:09.423,sell,809.88,0
2026-05-07 03:50:09.502,buy,81.29,0
2026-05-07 03:50:09.806,sell,1693.46,0
2026-05-07 03:50:11.941,sell,80.55,0
2026-05-07 03:50:11.950,buy,4873.02,0
2026-05-07 03:50:11.955,buy,243.94,0
2026-05-07 03:50:12.734,buy,732.02,0
2026-05-07 03:50:13.699,buy,1301.09,0
2026-05-07 03:50:14.080,buy,2031.15,0
2026-05-07 03:51:29.479,sell,241.82,0
2026-05-07 03:58:06.199,buy,729.62,0
2026-05-07 03:58:08.459,buy,3492.7,0
2026-05-07 03:58:13.516,buy,81.13,0
2026-05-07 03:59:15.678,sell,562.86,0
2026-05-07 03:59:15.800,sell,80.4,0
2026-05-07 03:59:16.024,sell,9647.54,0
2026-05-07 03:59:16.221,sell,4904.5,0
2026-05-07 03:59:16.225,sell,804.06,0
2026-05-07 03:59:16.297,sell,39076.88,0
2026-05-07 03:59:25.778,sell,80.4,0
2026-05-07 04:00:27.221,sell,643.56,0
2026-05-07 04:00:28.147,buy,81.11,0
2026-05-07 04:04:58.397,sell,160.79,0
2026-05-07 04:04:58.450,sell,964.67,0
2026-05-07 04:04:58.862,sell,1205.88,0
2026-05-07 04:04:58.992,sell,80.39,0
2026-05-07 04:04:59.341,sell,1045.13,0
2026-05-07 04:04:59.823,sell,4019.28,0
2026-05-07 04:04:59.890,sell,401.93,0
2026-05-07 04:04:59.892,sell,884.23,0
2026-05-07 04:05:00.023,sell,1125.31,0
2026-05-07 04:05:00.033,sell,16960.03,0
2026-05-07 04:05:00.481,sell,1446.87,0
2026-05-07 04:05:43.545,sell,13903.14,0
2026-05-07 04:05:44.471,sell,80.37,0
2026-05-07 04:05:53.091,sell,401.77,0
2026-05-07 04:05:53.680,sell,1928.41,0
2026-05-07 04:05:54.109,sell,19203.08,0
2026-05-07 04:05:54.281,sell,80.35,0
2026-05-07 04:06:45.785,sell,15185.3,0
2026-05-07 04:08:11.024,sell,1927.98,0
2026-05-07 04:09:46.116,sell,240.99,0
2026-05-07 04:09:46.510,sell,722.95,0
2026-05-07 04:09:46.606,sell,2329.29,0
2026-05-07 04:09:46.813,sell,1044.15,0
2026-05-07 04:09:47.029,sell,7710.84,0
2026-05-07 04:09:47.130,sell,562.27,0
2026-05-07 04:09:47.136,sell,722.91,0
2026-05-07 04:09:47.145,sell,2088.38,0
2026-05-07 04:09:47.191,sell,481.91,0
2026-05-07 04:09:47.427,sell,562.14,0
2026-05-07 04:09:47.469,sell,401.54,0
2026-05-07 04:09:47.704,sell,321.19,0
2026-05-07 04:09:48.009,sell,80.31,0
2026-05-07 04:09:48.085,sell,1284.69,0
2026-05-07 04:09:48.127,sell,4095.42,0
2026-05-07 04:09:48.180,sell,24093.54,0
2026-05-07 04:10:22.821,buy,324.69,0
2026-05-07 04:25:32.807,buy,243.95,0
2026-05-07 04:32:09.205,buy,975.25,0
2026-05-07 04:51:24.555,buy,20331.83,0
2026-05-07 04:58:16.619,buy,1626.38,0
2026-05-07 05:06:17.788,buy,488.54,0
2026-05-07 05:13:41.911,buy,244.58,0
2026-05-07 05:31:56.401,sell,3227.67,0
2026-05-07 06:28:41.806,sell,404.84,0
2026-05-07 06:28:42.780,buy,406.66,0
2026-05-07 06:28:45.872,buy,81.37,0
2026-05-07 06:33:53.877,buy,1549.92,0
