ts,oi
2023-05-11 00:00:00,2809808182
2023-05-12 00:00:00,2931701540
2023-05-13 00:00:00,2862956993
2023-05-14 00:00:00,2878244882
2023-05-15 00:00:00,2900658015
2023-05-16 00:00:00,2911966523
2023-05-17 00:00:00,2940333491
2023-05-18 00:00:00,2953942437
2023-05-19 00:00:00,2812192864
2023-05-20 00:00:00,2797750495
2023-05-21 00:00:00,2839159390
2023-05-22 00:00:00,2835803127
2023-05-23 00:00:00,2825837363
2023-05-24 00:00:00,2857047581
2023-05-25 00:00:00,3025337688
2023-05-26 00:00:00,2963618240
2023-05-27 00:00:00,2832319014
2023-05-28 00:00:00,2912356896
2023-05-29 00:00:00,3116887073
2023-05-30 00:00:00,3095778503
2023-05-31 00:00:00,3077368749
2023-06-01 00:00:00,3037313248
2023-06-02 00:00:00,3043555797
2023-06-03 00:00:00,3065675328
2023-06-04 00:00:00,3096657536
2023-06-05 00:00:00,2948299334
2023-06-06 00:00:00,3073789952
2023-06-07 00:00:00,2976927881
2023-06-08 00:00:00,2716432358
2023-06-09 00:00:00,2738505879
2023-06-10 00:00:00,2715565866
2023-06-11 00:00:00,2631353575
2023-06-12 00:00:00,2573557327
2023-06-13 00:00:00,2651893110
2023-06-14 00:00:00,2677045793
2023-06-15 00:00:00,2603899397
2023-06-16 00:00:00,2662857219
2023-06-17 00:00:00,2756852678
2023-06-18 00:00:00,2737946208
2023-06-19 00:00:00,2745124175
2023-06-20 00:00:00,2925702467
2023-06-21 00:00:00,3436346501
2023-06-22 00:00:00,3507955708
2023-06-23 00:00:00,3522206903
2023-06-24 00:00:00,3528000674
2023-06-25 00:00:00,3464230321
2023-06-26 00:00:00,3468368870
2023-06-27 00:00:00,3479700013
2023-06-28 00:00:00,3560615841
2023-06-29 00:00:00,3373050077
2023-06-30 00:00:00,3598797358
2023-07-01 00:00:00,3227815916
2023-07-02 00:00:00,3341121408
2023-07-03 00:00:00,3323780224
2023-07-04 00:00:00,3674533502
2023-07-05 00:00:00,3507245837
2023-07-06 00:00:00,3432733051
2023-07-07 00:00:00,3079514217
2023-07-08 00:00:00,3139731089
2023-07-09 00:00:00,3135824828
2023-07-10 00:00:00,3083573459
2023-07-11 00:00:00,3224051304
2023-07-12 00:00:00,3305710341
2023-07-13 00:00:00,3375349751
2023-07-14 00:00:00,3502418302
2023-07-15 00:00:00,3065231499
2023-07-16 00:00:00,3030985482
2023-07-17 00:00:00,3049974136
2023-07-18 00:00:00,3157413932
2023-07-19 00:00:00,3188193512
2023-07-20 00:00:00,3133255396
2023-07-21 00:00:00,3268368495
2023-07-22 00:00:00,3187460860
2023-07-23 00:00:00,3149719793
2023-07-24 00:00:00,3017606374
2023-07-25 00:00:00,3259911920
2023-07-26 00:00:00,3164433814
2023-07-27 00:00:00,3205098050
2023-07-28 00:00:00,3210369288
2023-07-29 00:00:00,3163148685
2023-07-30 00:00:00,3174004698
2023-07-31 00:00:00,3111462758
2023-08-01 00:00:00,3181563422
2023-08-02 00:00:00,3234838483
2023-08-03 00:00:00,3277298894
2023-08-04 00:00:00,3255711647
2023-08-05 00:00:00,3337671073
2023-08-06 00:00:00,3273269299
2023-08-07 00:00:00,3231286819
2023-08-08 00:00:00,3259237478
2023-08-09 00:00:00,3691869791
2023-08-10 00:00:00,3485397775
2023-08-11 00:00:00,3492294404
2023-08-12 00:00:00,3478251122
2023-08-13 00:00:00,3448025633
2023-08-14 00:00:00,3361601913
2023-08-15 00:00:00,3158595108
2023-08-16 00:00:00,3332380746
2023-08-17 00:00:00,3360656450
2023-08-18 00:00:00,2833751507
2023-08-19 00:00:00,2494215936
2023-08-20 00:00:00,2286516409
2023-08-21 00:00:00,2348547183
2023-08-22 00:00:00,2376941810
2023-08-23 00:00:00,2266730083
2023-08-24 00:00:00,2216733384
2023-08-25 00:00:00,2239777852
2023-08-26 00:00:00,2191793659
2023-08-27 00:00:00,2227439247
2023-08-28 00:00:00,2258542501
2023-08-29 00:00:00,2252090809
2023-08-30 00:00:00,2555255116
2023-08-31 00:00:00,2434826562
2023-09-01 00:00:00,2137767046
2023-09-02 00:00:00,2157874124
2023-09-03 00:00:00,2085391534
2023-09-04 00:00:00,2087664411
2023-09-05 00:00:00,2092251907
2023-09-06 00:00:00,2160722542
2023-09-07 00:00:00,2143156480
2023-09-08 00:00:00,2172356044
2023-09-09 00:00:00,2162005826
2023-09-10 00:00:00,2162012629
2023-09-11 00:00:00,2112165683
2023-09-12 00:00:00,2249154563
2023-09-13 00:00:00,2254356809
2023-09-14 00:00:00,2355808742
2023-09-15 00:00:00,2430167097
2023-09-16 00:00:00,2304299109
2023-09-17 00:00:00,2296790004
2023-09-18 00:00:00,2247584545
2023-09-19 00:00:00,2394809568
2023-09-20 00:00:00,2521649646
2023-09-21 00:00:00,2449266825
2023-09-22 00:00:00,2454921365
2023-09-23 00:00:00,2460557649
2023-09-24 00:00:00,2426886127
2023-09-25 00:00:00,2371555378
2023-09-26 00:00:00,2359200855
2023-09-27 00:00:00,2390430792
